,0
Run,3.0276503540974917
All Wrong,8.044321668799123
All Correct,20.59233946020812
All Wrong Male,2.875181153713043
All Wrong Female,8.052604823561408
All Correct Male,11.489608831945112
All Correct Female,11.415875885021796
Disagreements balanced_06_fixmatch_iteration_3,0.0
Disagreements balanced_06_fixmatch_iteration_3 Male,0.0
Disagreements balanced_06_fixmatch_iteration_3 Female,0.0
Disagreements balanced_09_fixmatch_iteration_7_lowest_disparity,0.0
Disagreements balanced_09_fixmatch_iteration_7_lowest_disparity Male,0.0
Disagreements balanced_09_fixmatch_iteration_7_lowest_disparity Female,0.0
Disagreements balanced_09_fixmatch_iteration_12,0.0
Disagreements balanced_09_fixmatch_iteration_12 Male,0.0
Disagreements balanced_09_fixmatch_iteration_12 Female,0.0
Disagreements balanced_06_flexmatch_iteration_4,0.0
Disagreements balanced_06_flexmatch_iteration_4 Male,0.0
Disagreements balanced_06_flexmatch_iteration_4 Female,0.0
Disagreements balanced_06_flexmatch_iteration_6_lowest_disparity,0.0
Disagreements balanced_06_flexmatch_iteration_6_lowest_disparity Male,0.0
Disagreements balanced_06_flexmatch_iteration_6_lowest_disparity Female,0.0
Disagreements unbalanced_09_fixmatch_iteration_3,0.0
Disagreements unbalanced_09_fixmatch_iteration_3 Male,0.0
Disagreements unbalanced_09_fixmatch_iteration_3 Female,0.0
