Dataset,Model Folder,Model,Loss,Accuracy,Male Accuracy,Female Accuracy
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_1_best.pth,0.8273930776503778,42.064517974853516,10.167310167310168,74.1267787839586
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_2_best.pth,0.5764562565280545,72.45161437988281,87.9021879021879,56.92108667529108
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_3_best.pth,0.7236677945044733,43.67742156982422,29.343629343629345,58.08538163001293
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_4_best.pth,0.7780653318282097,51.935489654541016,98.71299871299871,4.915912031047866
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_5_best.pth,0.7379993410264292,50.709678649902344,99.48519948519949,1.6817593790426906
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_1_unbalanced_best.pth,0.6825495036186711,55.67742156982422,69.4980694980695,41.785252263906855
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_2_unbalanced_best.pth,0.6639531818512947,50.90322494506836,99.35649935649936,2.1992238033635187
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_3_unbalanced_best.pth,1.0025080210162747,49.09677505493164,0.2574002574002574,98.1888745148771
East_Asian_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_1_best.pth,0.7816538058557818,50.06451416015625,0.6435006435006435,99.74126778783958
East_Asian_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_2_best.pth,0.7403387040476646,42.774192810058594,63.96396396396396,21.47477360931436
East_Asian_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_3_best.pth,0.8988288243355289,21.354839324951172,21.62162162162162,21.08667529107374
East_Asian_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_4_best.pth,0.7713177650974643,49.48387145996094,3.7323037323037322,95.47218628719276
