Model,Loss,Accuracy,Male Accuracy,Female Accuracy,Time (s)
10_iterations_0.6_1_balanced_best.pth,0.6701414435275383,78.8034896850586,96.31537242472267,61.29160063391442,48.42725896835327
10_iterations_0.6_2_balanced_best.pth,0.9644691650999234,79.08082580566406,94.29477020602218,63.86687797147385,44.40606641769409
10_iterations_0.6_3_balanced_best.pth,0.9278184339609262,80.05150604248047,91.12519809825673,68.97781299524564,40.907466411590576
10_iterations_0.6_4_balanced_best.pth,1.1834058604290245,78.8034896850586,92.7892234548336,64.81774960380349,42.42870593070984
10_iterations_0.6_5_balanced_best.pth,1.1588137349949208,77.53565979003906,95.24564183835183,59.8256735340729,41.49395298957825
10_iterations_0.6_6_balanced_best.pth,0.9468639120193886,79.59587860107422,90.4120443740095,68.77971473851031,42.341617584228516
10_iterations_0.6_7_balanced_best.pth,1.165463556393113,79.16006469726562,92.67036450079239,65.64976228209191,43.36751174926758
10_iterations_0.6_8_balanced_best.pth,1.2658280465137892,79.08082580566406,92.11568938193344,66.0459587955626,43.144752502441406
10_iterations_0.6_9_balanced_best.pth,1.3564551315091775,77.61489868164062,91.20443740095087,64.02535657686212,42.927863359451294
10_iterations_0.6_10_balanced_best.pth,1.3938186489316455,78.30824279785156,90.57052297939778,66.0459587955626,44.1827495098114
method_1_0.9_1_balanced_best.pth,0.7990502287912671,79.41759490966797,93.46275752773376,65.37242472266243,41.51665759086609
method_1_0.9_2_balanced_best.pth,0.9715742198558504,78.38748168945312,88.35182250396197,68.42313787638669,41.665566205978394
method_1_0.9_3_balanced_best.pth,1.0081899408922603,79.87322235107422,90.45166402535658,69.29477020602218,42.96133255958557
method_1_0.9_4_balanced_best.pth,1.1429323941357021,78.26862335205078,92.31378763866877,64.22345483359746,40.956316232681274
method_1_0.9_5_balanced_best.pth,0.9989430013683915,80.48731994628906,90.4120443740095,70.56259904912837,43.30350375175476
method_1_0.9_6_balanced_best.pth,1.259987033475574,78.94215393066406,89.69889064976229,68.18541996830429,42.453635692596436
method_1_0.9_7_balanced_best.pth,0.9564342019982081,79.81378936767578,82.36925515055468,77.25832012678289,42.699443340301514
method_1_0.9_8_balanced_best.pth,1.08298604602434,80.19017791748047,86.88589540412043,73.49445324881141,45.44749689102173
method_1_0.9_9_balanced_best.pth,1.196833811785949,79.5760726928711,86.76703645007923,72.3851030110935,49.21770977973938
method_1_0.9_10_balanced_best.pth,1.3075654426187044,80.56655883789062,88.1933438985737,72.93977812995246,46.48712682723999
method_1_model-0.6_1_unbalanced_best.pth,1.7417278864115429,59.6275749206543,43.30427892234548,75.95087163232964,48.02773594856262
method_1_model-0.6_2_unbalanced_best.pth,3.456742633541488,55.13074493408203,15.015847860538829,95.24564183835183,43.815773725509644
method_1_model-0.6_3_unbalanced_best.pth,5.480203164738445,53.66482162475586,10.419968304278921,96.90966719492869,49.65881657600403
method_1_model-0.9_1_unbalanced_best.pth,1.392687341089105,74.54437255859375,98.29635499207608,50.79239302694136,43.69813346862793
method_1_model-0.9_2_unbalanced_best.pth,1.308490100879039,75.65372467041016,96.6323296354992,54.67511885895404,47.50870108604431
method_1_model-0.9_3_unbalanced_best.pth,1.8646446679543154,76.40650177001953,95.44374009508716,57.36925515055468,48.437694787979126
