Test Dataset,Model Folder,Model Type,Best Metric,Model,Accuracy,Male Accuracy,Female Accuracy,Gender Disparity
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_1_balanced_best.pth,77.03226470947266,90.86229086229086,63.130659767141005,27.731631095149858
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_1_balanced_best.pth,77.03226470947266,90.86229086229086,63.130659767141005,27.731631095149858
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,Unbalanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_3_unbalanced_best.pth,76.19355010986328,76.19047619047619,76.19663648124192,0.006160290765734544
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_3_unbalanced_best.pth,76.19355010986328,76.19047619047619,76.19663648124192,0.006160290765734544
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,Balanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_1_balanced_best.pth,78.58065032958984,91.24839124839124,65.84734799482536,25.401043253565888
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,Balanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_1_balanced_best.pth,78.58065032958984,91.24839124839124,65.84734799482536,25.401043253565888
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,Unbalanced,Accuracy,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_1_unbalanced_best.pth,78.83871459960938,85.97168597168597,71.66882276843467,14.302863203251306
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,Unbalanced,Gender Disparity,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_2_unbalanced_best.pth,76.25807189941406,79.02187902187903,73.47994825355757,5.541930768321464
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,Balanced,Accuracy,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_4_balanced_best.pth,76.25807189941406,68.46846846846847,84.08796895213455,15.619500483666073
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,Balanced,Gender Disparity,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_9_balanced_best.pth,75.41935729980469,72.71557271557272,78.13712807244502,5.421555356872304
