Dataset,Model Folder,Model Type,Best Metric,Model,Accuracy,Male Accuracy,Female Accuracy,Gender Disparity
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_2_best.pth,72.45161437988281,87.9021879021879,56.92108667529108,30.981101226896826
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_3_best.pth,43.67742156982422,29.343629343629345,58.08538163001293,28.741752286383587
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_1_unbalanced_best.pth,55.67742156982422,69.4980694980695,41.785252263906855,27.712817234162642
East_Asian_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_1_unbalanced_best.pth,55.67742156982422,69.4980694980695,41.785252263906855,27.712817234162642
East_Asian_Validation,bias_training_data\bias_Unlabeled_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_1_best.pth,50.06451416015625,0.6435006435006435,99.74126778783958,99.09776714433893
East_Asian_Validation,bias_training_data\bias_Unlabeled_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_3_best.pth,21.35483932495117,21.62162162162162,21.08667529107374,0.5349463305478821
East_Asian_Validation,bias_training_data\bias_Unlabeled_FlexMatch,Unbalanced,Accuracy,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_2_unbalanced_best.pth,67.80644989013672,67.6962676962677,67.91720569210867,0.22093799584096985
East_Asian_Validation,bias_training_data\bias_Unlabeled_FlexMatch,Unbalanced,Gender Disparity,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_2_unbalanced_best.pth,67.80644989013672,67.6962676962677,67.91720569210867,0.22093799584096985
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,Balanced,Accuracy,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_3_best.pth,70.12903594970703,64.35006435006436,75.9379042690815,11.587839919017142
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,Balanced,Gender Disparity,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_3_best.pth,70.12903594970703,64.35006435006436,75.9379042690815,11.587839919017142
